Point:930   (12578,18347.5) house
Point:928   (12592.5,17977) house
Point:900   (12598.5,16962.5) house
Point:339   (12600.5,12491) office38
Point:405   (12606.5,15590) office24
Point:1369   (12610.5,26525) house
Point:902   (12614.5,17121) house
Point:1403   (12616.5,26924) house
Point:4891   (12631.5,34188) shoppingmall
Point:406   (12638.5,15879) office24
Point:931   (12639.5,18372.5) house
Point:343   (12640.5,12646.5) office38
Point:929   (12642.5,17977) house
Point:340   (12650.5,12491) office38
Point:345   (12651.5,13004) office38
Point:111   (12653.5,7050.5) house
Point:1370   (12660.5,26525) house
Point:906   (12662.5,17391) house
Point:901   (12665,17015) house
Point:1407   (12676.5,27504) house
Point:344   (12684,12698) house
Point:904   (12684,17084.5) house
Point:1401   (12696,26675.5) house
Point:341   (12700.5,12491) office38
Point:237   (12724.5,9553.5) hotel
Point:1408   (12726.5,27504) house
Point:410   (12730.5,15980) office38
Point:411   (12734.5,16187) office24
Point:4892   (12744.5,34174) hotel
Point:923   (12750,17805.5) house
Point:342   (12750.5,12491) office38
Point:1405   (12750.5,27344) house
Point:1406   (12750.5,27394) house
Point:346   (12754.5,13000) office38
Point:903   (12758,17015.5) house
Point:4888   (12767,33659.5) house
Point:1402   (12768.5,26875) house
Point:1367   (12772.5,25816) house
Point:1404   (12776.5,26931.5) house
Point:1409   (12776.5,27504) house
Point:412   (12784.5,16187) shoppingmall
Point:236   (12796.5,9331) shoppingmall
Point:407   (12801.5,15812) office24
Point:408   (12801.5,15862) office24
Point:347   (12804.5,13000) office38
Point:895   (12806.5,16553.5) house
Point:922   (12807.5,17759) house
Point:905   (12809.5,17159) house
Point:1413   (12818.5,26875) house
Point:1371   (12822.5,25816) house
Point:1429   (12826.5,27156) house
Point:234   (12830.5,8814.5) house
Point:360   (12830.5,13254) office24
Point:361   (12830.5,13304) office24
Point:932   (12830.5,18040) house
Point:421   (12834.5,16187) office24
Point:918   (12848.5,17363) house
Point:413   (12851.5,15812) office24
Point:414   (12851.5,15862) office24
Point:1418   (12852.5,26973) house
Point:356   (12854.5,13000) office24
Point:1412   (12861.5,26773) house
Point:1420   (12864.5,27083) house
Point:1414   (12868.5,26875) house
Point:364   (12871,13477) office24
Point:1372   (12872.5,25816) house
Point:4889   (12874.5,33278) house
Point:4890   (12874.5,33328) house
Point:1430   (12876.5,27156) house
Point:933   (12880.5,18040) house
Point:1410   (12882.5,26641) house
Point:422   (12884.5,16187) office24
Point:919   (12898.5,17363) house
Point:250   (12901.5,11469.5) house
Point:917   (12901.5,17019) house
Point:1259   (12901.5,20838) house
Point:1419   (12904,26999.5) house
Point:1415   (12911.5,26773) house
Point:235   (12917.5,8885) house
Point:907   (12929.5,16535) house
Point:1411   (12932.5,26641) house
Point:419   (12933.5,16066) office24
Point:251   (12943.5,11478) house
Point:348   (12947.5,12357) office38
Point:920   (12948.5,17363) house
Point:1421   (12952.5,26925) house
Point:934   (12956.5,18280) house
Point:935   (12956.5,18330) house
Point:392   (12963,14370) office24
Point:1422   (12970.5,26990.5) house
Point:983   (12976,18457.5) house
Point:908   (12979.5,16535) house
Point:393   (12980,14480.5) office24
Point:910   (12980.5,16793) house
Point:1416   (12982.5,26641) house
Point:420   (12983.5,16066) office24
Point:423   (12985.5,16203) office24
Point:984   (12987,19025) house
Point:365   (12988,14314) office38
Point:357   (12997.5,12818) office24
Point:909   (13012,16748) house
Point:1417   (13016.5,26828) house
Point:1423   (13019.5,27053) house
Point:349   (13028.5,12402) office38
Point:1433   (13041,28328) hospital
Point:358   (13047.5,12818) office24
Point:394   (13060.5,14356) office24
Point:1480   (13062,31680) house
Point:1424   (13069.5,27053) house
Point:359   (13074.5,12976.5) office24
Point:1482   (13085.5,31768) house
Point:915   (13087,16776.5) house
Point:1431   (13100,27583) house
Point:239   (13111,9851) house
Point:362   (13117.5,12884) office24
Point:252   (13124,11595) house
Point:350   (13125.5,12476) office38
Point:424   (13130.5,16324) office24
Point:1373   (13131.5,26635) house
Point:1483   (13132,31797) house
Point:395   (13133.5,14408) office24
Point:351   (13140,12545) house
Point:352   (13151.5,12517) house
Point:1425   (13158.5,27085) house
Point:1491   (13159,32765) house
Point:240   (13160.5,10195) house
Point:1488   (13160.5,32263) house
Point:425   (13166,16377.5) office24
Point:363   (13167.5,12884) office24
Point:355   (13169.5,12807) office24
Point:247   (13173.5,11050) house
Point:248   (13173.5,11100) house
Point:399   (13178,15092) office24
Point:911   (13178.5,16649) house
Point:914   (13178.5,16699) house
Point:1374   (13181.5,26635) house
Point:354   (13184.5,12678) office38
Point:1426   (13185.5,27025.5) house
Point:353   (13192,12548) house
Point:415   (13195,15501) office24
Point:1490   (13206,32356) house
Point:396   (13207.5,14740.5) office24
Point:1427   (13208.5,27085) house
Point:398   (13211.5,14830.5) office24
Point:921   (13212.5,17398.5) hospital
Point:1432   (13221.5,27641) house
Point:418   (13226.5,15554) office24
Point:912   (13228.5,16649) house
Point:916   (13228.5,16699) house
Point:426   (13238.5,16236) office24
Point:428   (13238.5,16286) office24
Point:416   (13248.5,15474) office24
Point:397   (13249,14774.5) office24
Point:1484   (13249,31803) house
Point:1489   (13254.5,32264) house
Point:1486   (13256,31947.5) house
Point:1428   (13258.5,27085) house
Point:1364   (13280,25110) house
Point:400   (13285.5,15126) office24
Point:1487   (13286,31977.5) house
Point:253   (13286.5,11594) house
Point:427   (13288.5,16236) office24
Point:429   (13288.5,16286) office24
Point:254   (13289.5,11730.5) house
Point:417   (13298.5,15474) office24
Point:1485   (13305.5,31767.5) house
Point:913   (13308.5,16563.5) house
Point:238   (13311.5,9559) house
Point:372   (13329.5,13045) office24
Point:937   (13329.5,16633) house
Point:1434   (13331.5,26999) house
Point:257   (13336.5,11594) house
Point:260   (13337,11794.5) house
Point:1384   (13343.5,26233) house
Point:1260   (13346.5,20959) house
Point:941   (13358.5,17375) house
Point:259   (13361,11741) house
Point:243   (13361.5,9559) house
Point:261   (13366,11836.5) house
Point:936   (13368,16551) house
Point:373   (13379.5,13045) office24
Point:1435   (13381.5,26999) house
Point:430   (13384.5,14737) office24
Point:431   (13384.5,14787) office24
Point:1440   (13390,27692.5) house
Point:1385   (13393.5,26233) house
Point:1379   (13402.5,26120) house
Point:244   (13411.5,9559) house
Point:432   (13434.5,14737) office24
Point:433   (13434.5,14787) shoppingmall
Point:989   (13437.5,18996) shoppingmall
Point:366   (13441,12345.5) office24
Point:245   (13443.5,9686.5) house
Point:1386   (13443.5,26233) house
Point:258   (13446,11543.5) house
Point:1376   (13449,25241.5) house
Point:1380   (13452.5,26120) house
Point:435   (13461.5,15104) office24
Point:437   (13461.5,15154) office24
Point:438   (13461.5,15204) office24
Point:1381   (13469.5,25985) house
Point:1377   (13474,25399) hospital
Point:956   (13496.5,18360) office38
Point:957   (13496.5,18410) house
Point:1495   (13500.5,32350) house
Point:1382   (13502.5,26120) house
Point:381   (13506,13729) house
Point:434   (13507,15025.5) hotel
Point:1265   (13508.5,21045) house
Point:1261   (13527.5,20932) house
Point:1266   (13535.5,21307) house
Point:1267   (13535.5,21357) house
Point:985   (13541.5,18882) office38
Point:986   (13541.5,18932) office38
Point:374   (13543.5,13198) office38
Point:382   (13548.5,13743) house
Point:367   (13550.5,12338) office24
Point:1496   (13550.5,32350) house
Point:1383   (13552.5,26120) house
Point:436   (13555,15063.5) office24
Point:938   (13555.5,16662) house
Point:1262   (13577.5,20932) house
Point:1375   (13583.5,24810) house
Point:451   (13586.5,15968) house
Point:452   (13586.5,16018) house
Point:383   (13588,13782) house
